date_time,Average PMV,Habitability,Habitability?
2021-12-29 18:00:00,-0.5309228574549504,H,H
2021-12-29 19:00:00,-0.8650925462552537,H,H
2021-12-29 20:00:00,-0.9714060392393185,H,H
2021-12-29 21:00:00,-1.0298704807356283,H,H
2021-12-29 22:00:00,-1.0920586178017997,H,H
2021-12-29 23:00:00,-1.1396923309655869,H,H
2021-12-30 00:00:00,-1.1797053546411933,H,H
2021-12-30 01:00:00,-1.2117261671734985,H,H
2021-12-30 02:00:00,-1.2487850833113148,H,H
2021-12-30 03:00:00,-1.3013313389480636,H,H
2021-12-30 04:00:00,-1.3473253040770699,H,H
2021-12-30 05:00:00,-1.3836638147208926,H,H
2021-12-30 06:00:00,-1.3913292517443878,H,H
2021-12-30 07:00:00,-1.3853314236281424,H,H
2021-12-30 08:00:00,-1.368989807062458,H,H
2021-12-30 09:00:00,-1.311776908158265,H,H
2021-12-30 10:00:00,-1.2836691116660444,H,H
2021-12-30 11:00:00,-1.2816590139665662,H,H
2021-12-30 12:00:00,-1.2719812989311166,H,H
2021-12-30 13:00:00,-1.265972953403371,H,H
2021-12-30 14:00:00,-1.2719790145286702,H,H
2021-12-30 15:00:00,-1.2630849588282576,H,H
2021-12-30 16:00:00,-1.2526954672658765,H,H
2021-12-30 17:00:00,-1.2567121058117066,H,H
2021-12-30 18:00:00,-1.2548532147274865,H,H
2021-12-30 19:00:00,-1.251257416626508,H,H
2021-12-30 20:00:00,-1.2483580437546566,H,H
2021-12-30 21:00:00,-1.2450367991209748,H,H
2021-12-30 22:00:00,-1.2264282061692466,H,H
2021-12-30 23:00:00,-1.2142526805888672,H,H
2021-12-31 00:00:00,-1.2082738206082617,H,H
2021-12-31 01:00:00,-1.3001058690586993,H,H
2021-12-31 02:00:00,-1.3573728561528318,H,H
2021-12-31 03:00:00,-1.3917753701788793,H,H
2021-12-31 04:00:00,-1.4173202245012817,H,H
2021-12-31 05:00:00,-1.4440132249307318,H,H
2021-12-31 06:00:00,-1.4718207838458024,H,H
2021-12-31 07:00:00,-1.4967998713865809,H,H
2021-12-31 08:00:00,-1.5223320731027759,H,H
