date_time,Electricity:Facilit,Zone Mean Air Temperature-ZONE WAREHOUSE BULK  - STORY GROUND,Zone Mean Air Temperature-ZONE WAREHOUSE FINE  - STORY GROUND,Zone Mean Air Temperature-ZONE WAREHOUSE OFFICE  - STORY GROUND,Zone Operative Temperature-ZONE WAREHOUSE BULK  - STORY GROUND,Zone Operative Temperature-ZONE WAREHOUSE FINE  - STORY GROUND,Zone Operative Temperature-ZONE WAREHOUSE OFFICE  - STORY GROUND,Zone Thermal Comfort Fanger Model PMV-WAREHOUSE OFFICE  - STORY GROUND WAREHOUSE OFFICE PEOPLE,Zone Thermal Comfort Fanger Model PPD-WAREHOUSE OFFICE  - STORY GROUND WAREHOUSE OFFICE PEOPLE
2021-06-08 08:00:00,46836875.12653985,20.0720818178263,15.559999999999977,20.633202206169507,18.678398308914137,15.256212630361995,19.37089769552921,-0.49391091084188693,10.097546374710149
2021-06-08 09:00:00,45113104.16825856,20.0720818178263,15.559999999999977,20.635312541723884,18.69637325532475,15.27216746956281,19.41122432416433,-0.48638260372302694,9.942151158852425
2021-06-08 10:00:00,42563100.71969012,20.0720818178263,15.559999999999976,20.635923208096848,18.65076816706633,15.235432757741467,19.376808602150973,-0.4893479476943148,10.003068077185787
2021-06-08 11:00:00,43942344.48006822,20.0720818178263,15.559999999999974,20.636102313078258,18.684034879215893,15.25082154139357,19.394783139793354,-0.4848652551628654,9.911127138152779
2021-06-08 12:00:00,40915727.62482866,20.0720818178263,15.559999999999974,20.6361542674209,18.72506207676978,15.27519693760238,19.434716108151044,-0.4769530858411551,9.750962922929261
2021-06-08 13:00:00,41701383.934363306,20.0720818178263,15.559999999999974,20.636169396731038,18.823371028428603,15.342495835841795,19.540154316090625,-0.4583759636146237,9.385518292523074
2021-06-08 14:00:00,41548498.51573646,20.0720818178263,15.559999999999974,20.636173805997593,18.823428654069303,15.34819047442885,19.55774834889047,-0.4535012297969033,9.29208565667119
2021-06-08 15:00:00,38723598.01625587,20.0720818178263,15.559999999999974,20.63617512387768,18.825277848829828,15.344837749276717,19.55439676253667,-0.4541213119934138,9.30391382255435
2021-06-08 16:00:00,40034923.85185779,20.072081817826298,15.559999999999976,20.636175520813374,18.798331807975732,15.312470277347575,19.516538151167566,-0.45832648587504315,9.384564828464661
2021-06-08 17:00:00,48355762.309635885,20.0720818178263,15.559999999999974,20.63617564049095,18.77018336741665,15.275325857708598,19.472981876075835,-0.4649863845389823,9.513852716771822
2021-06-08 18:00:00,46875425.33198655,20.0720818178263,15.559999999999974,20.51416144855425,18.678626408179078,15.185876649813878,19.309925419477214,-0.49686015185459326,10.159090215514283
2021-06-08 19:00:00,46058537.84160422,20.0720818178263,15.559999999999974,20.505924355643394,18.84139889088094,15.276901967962385,19.383988547084915,-0.48604139601157953,9.935166095530292
2021-06-08 20:00:00,50685225.170809716,20.0720818178263,15.559999999999976,20.50540049106921,18.767069627883735,15.223558511017217,19.381472764950352,-0.4873251173294667,9.961472020232478
2021-06-08 21:00:00,38107833.22068903,20.0720818178263,15.559999999999974,20.505366476623973,18.72642875957507,15.19303701400981,19.38369268903319,-0.4893983029884487,10.004105801376369
2021-06-08 22:00:00,40169230.38406128,20.0720818178263,15.559999999999976,20.505364397869897,18.644299027334064,15.11943187017896,19.212588559318093,-0.5175591914923818,10.601609254844917
