date_time,Electricity:Facilit,NaturalGas:Facility,Zone Mean Air Temperature-ZONE OFFICE WHOLEBUILDING - SM OFFICE 2  - STORY GROUND,Zone Operative Temperature-ZONE OFFICE WHOLEBUILDING - SM OFFICE 2  - STORY GROUND,Zone Thermal Comfort Fanger Model PMV-OFFICE WHOLEBUILDING - SM OFFICE 2  - STORY GROUND OFFICE WHOLEBUILDING - SM OFFICE 2 PEOPLE,Zone Thermal Comfort Fanger Model PPD-OFFICE WHOLEBUILDING - SM OFFICE 2  - STORY GROUND OFFICE WHOLEBUILDING - SM OFFICE 2 PEOPLE
2021-09-06 22:00:00,40500558.79728203,1260739.083908506,20.57191289303448,20.799464238163466,-0.4682009147443282,9.576939667595525
2021-09-06 23:00:00,41759372.491560504,1260739.083908506,20.587733830858916,20.808248822604718,-0.46584406106172316,9.530641551547077
2021-09-07 00:00:00,38074183.02172382,1260739.083908506,20.08232001400573,20.548032121848777,-0.5326331224043783,10.935534405065027
2021-09-07 01:00:00,38074183.02172382,1260739.083908506,19.985449939615393,20.40900024765024,-0.5624991133152939,11.626210906609515
2021-09-07 02:00:00,39332943.236525215,1260739.083908506,19.958426078508175,20.36415991090766,-0.5719207762117903,11.8521191645452
2021-09-07 03:00:00,38074183.02172382,1260739.083908506,19.90969111978748,20.314868416620165,-0.5830619617457615,12.124226673517157
2021-09-07 04:00:00,38074183.02172382,1260739.083908506,19.86272035857538,20.265472825082725,-0.5941806452215056,12.401154491105785
2021-09-07 05:00:00,39332889.71369371,1260739.083908506,19.820281371800977,20.218398086634252,-0.6000291939392044,12.548974860388583
2021-09-07 06:00:00,38516110.60732779,8152545.307736774,20.98839278454453,20.777939550840784,-0.4485963602797482,9.199107463029378
2021-09-07 07:00:00,37959945.501319565,5561926.126152652,20.99999999414724,20.906428167163646,-0.4218968099539316,8.711115301139387
2021-09-07 08:00:00,39214299.63178787,5399470.744893447,20.999999999792262,21.021587768559172,-0.39443328140683404,8.241056750050063
2021-09-07 09:00:00,37956682.21557382,5438608.752787414,20.999999999993317,21.06089766575561,-0.3864285013705319,8.110123008852696
2021-09-07 10:00:00,37931878.3631194,4501287.852219454,20.99999999999984,21.117105997846465,-0.37343215286230635,7.903370669641632
2021-09-07 11:00:00,37939375.7148183,4784607.730016781,20.999999999999993,21.14774104110959,-0.3694116276615137,7.8408696772682305
2021-09-07 12:00:00,39175018.854270756,3904708.5948729804,21.0,21.18470769431984,-0.36100651127176014,7.712433832298643
2021-09-07 13:00:00,37910318.298090585,3686547.4966130005,21.0,21.206663451943253,-0.35384932901438065,7.6054391021828
2021-09-07 14:00:00,37908664.815826766,3624063.514036542,21.0,21.20970330258217,-0.35632906698525335,7.642262538665264
2021-09-07 15:00:00,39154981.09270697,3149510.9773844853,21.000000000000004,21.21032756677932,-0.3515840416888724,7.572028886436215
2021-09-07 16:00:00,37846125.347826764,1260739.083908506,21.040432435546084,21.2478339434077,-0.3313561755355197,7.283363035297839
2021-09-07 17:00:00,37846125.347826764,1260739.083908506,21.096989519736507,21.311094743983976,-0.3130023878392704,7.036467505219022
2021-09-07 18:00:00,39104946.07058825,1260739.083908506,21.089017413854325,21.29470373570475,-0.31720635048059265,7.091758786797527
2021-09-07 19:00:00,37846125.347826764,1260739.083908506,20.74994338896949,21.041873755880378,-0.3840117938366824,8.071131085874867
2021-09-07 20:00:00,37846125.347826764,1260739.083908506,20.5985873360273,20.87088460277831,-0.43286181513422234,8.907819791812543
2021-09-07 21:00:00,41759326.045133516,1260739.083908506,20.813239874946593,20.937035938068796,-0.41441176158209797,8.579800587594477
2021-09-07 22:00:00,40500558.79728203,1260739.083908506,20.8459780462612,20.945294278823447,-0.4163380018243863,8.613364275786694
2021-09-07 23:00:00,40500558.79728203,1260739.083908506,20.680334992559345,20.838453638101015,-0.4470900679601971,9.17076142691863
2021-09-08 00:00:00,39333114.960487254,1260739.083908506,20.005905594548118,20.46976474818087,-0.5634116471498386,11.647922822526525
2021-09-08 01:00:00,38074183.02172382,1260739.083908506,19.80004985441336,20.238531775329943,-0.6398806946815849,13.59572816584884
2021-09-08 02:00:00,38074183.02172382,1260739.083908506,19.830224558337395,20.212607653318976,-0.6569788974190384,14.065955232768204
2021-09-08 03:00:00,39332843.17725142,1260739.083908506,19.701950505164675,20.122946714578852,-0.6855353292525005,14.87954094650651
2021-09-08 04:00:00,38074183.02172382,1260739.083908506,19.529977350530714,19.991824824946818,-0.7312004586784534,16.253779435038837
2021-09-08 05:00:00,38074183.02172382,1260739.083908506,19.62797392702214,20.002819542813782,-0.7456195451421703,16.706351153897003
2021-09-08 06:00:00,38569230.289260305,10159902.358355498,20.986800926307026,20.66300678115033,-0.5767873996436673,11.970317029949385
2021-09-08 07:00:00,39250956.4054875,6774075.016654519,20.999999999683993,20.80977436109682,-0.5542419575528084,11.431390112334256
2021-09-08 08:00:00,37977089.32502412,6209779.692588269,20.99999999998949,21.028553022409245,-0.5167410258736186,10.583766216465861
2021-09-08 09:00:00,37900676.46374839,3322189.062157674,20.999999999999826,21.14394201096674,-0.4939381552657845,10.098113183580352
2021-09-08 10:00:00,39122276.42647048,1913360.8130653505,21.0,21.330113674782726,-0.4540450910921359,9.302459004890665
2021-09-08 11:00:00,37846125.347826764,1260739.083908506,21.044900390687644,21.424069299262925,-0.4307576255757921,8.869671999283213
2021-09-08 12:00:00,37846125.347826764,1260739.083908506,21.30088458855866,21.64685657121765,-0.3802564338260962,8.01103579274033
2021-09-08 13:00:00,39104953.03257306,1260739.083908506,21.766113864367863,22.043309040919823,-0.2869726243398464,6.710766209867288
2021-09-08 14:00:00,37846125.347826764,1260739.083908506,22.03530305129411,22.323574911875248,-0.22876247673547906,6.085775317132601
2021-09-08 15:00:00,37846125.347826764,1260739.083908506,21.88627052572142,22.318268551953047,-0.2393093991252519,6.18844749888693
2021-09-08 16:00:00,39104899.70061156,1260739.083908506,22.02782524429211,22.389322840635444,-0.22521089670099895,6.052251700065938
2021-09-08 17:00:00,37846125.347826764,1260739.083908506,21.65940767433091,22.147887236240436,-0.2906117662664919,6.754579721275007
2021-09-08 18:00:00,37846125.347826764,1260739.083908506,21.394070443569465,21.882581492181554,-0.3571918862378072,7.65513654332787
2021-09-08 19:00:00,39105009.94268876,1260739.083908506,21.032948419923432,21.52278924976516,-0.4405428335154484,9.048686387466844
2021-09-08 20:00:00,37846125.347826764,1260739.083908506,20.675176821006794,21.186623334530736,-0.5144031403331875,10.532939835083894
2021-09-08 21:00:00,40500558.79728203,1260739.083908506,20.825760480543806,21.171558062391792,-0.5121342810538345,10.483840168715304
2021-09-08 22:00:00,41759226.03378888,1260739.083908506,20.82969502187922,21.151524525616548,-0.5134995668545148,10.513359207455906
2021-09-08 23:00:00,40500558.79728203,1260739.083908506,20.777874286198674,21.10176569037708,-0.5226807855712843,10.713962165520115
2021-09-09 00:00:00,38074026.93883808,1260739.083908506,20.12848007401083,20.742402623306315,-0.6110807531556544,12.83235288326351
2021-09-09 01:00:00,38074026.93883808,1260739.083908506,19.98702232839151,20.53820448659063,-0.6547831533309983,14.004859634465305
2021-09-09 02:00:00,39332968.372015,1260739.083908506,19.91740093323105,20.451356378813227,-0.6777266003098925,14.653560523579486
