date_time,Electricity:Facilit,Zone Mean Air Temperature-ZONE WAREHOUSE BULK  - STORY GROUND,Zone Mean Air Temperature-ZONE WAREHOUSE FINE  - STORY GROUND,Zone Mean Air Temperature-ZONE WAREHOUSE OFFICE  - STORY GROUND,Zone Operative Temperature-ZONE WAREHOUSE BULK  - STORY GROUND,Zone Operative Temperature-ZONE WAREHOUSE FINE  - STORY GROUND,Zone Operative Temperature-ZONE WAREHOUSE OFFICE  - STORY GROUND,Zone Thermal Comfort Fanger Model PMV-WAREHOUSE OFFICE  - STORY GROUND WAREHOUSE OFFICE PEOPLE,Zone Thermal Comfort Fanger Model PPD-WAREHOUSE OFFICE  - STORY GROUND WAREHOUSE OFFICE PEOPLE
2021-01-01 01:00:00,57193110.80137789,20.0720818178263,15.559999999999976,20.505364244220388,18.296443858184553,14.740112289872656,18.881355994477225,-0.7103635886603937,15.61556471731653
2021-01-01 02:00:00,55635584.71307965,20.0720818178263,15.55999999999998,20.50536423994093,18.280135402110403,14.726120849787648,18.862561109498074,-0.7147633199681673,15.748767437171892
2021-01-01 03:00:00,51465281.878547564,20.0720818178263,15.55999999999998,20.50536423955361,18.275060879601277,14.720302750790479,18.857230046412717,-0.7168913045895825,15.813491880713315
2021-01-01 04:00:00,46906110.29010622,20.0720818178263,15.559999999999974,20.505364239518617,18.322844800181784,14.749341282497547,18.9046790330096,-0.7097617568241663,15.59740901897824
2021-01-01 05:00:00,49194215.80477466,20.0720818178263,15.559999999999974,20.50536423951558,18.335037322585407,14.757011141911367,18.923120932941845,-0.7065587456954897,15.501045283130253
2021-01-01 06:00:00,39653383.488401175,20.0720818178263,15.559999999999976,20.505364239515323,18.33859404092417,14.758387428173414,18.934570562042474,-0.7043118624689728,15.433711087652952
2021-01-01 07:00:00,48319781.363078214,20.0720818178263,15.559999999999974,20.62459843948633,18.340675613823933,14.759450185315025,18.995373025896082,-0.6881970555063557,14.957172470119005
2021-01-01 08:00:00,50816655.01885928,20.0720818178263,15.559999999999974,20.63516084402034,18.339544232369782,14.759150280048209,19.019005526000047,-0.6830438548629211,14.807152524353015
2021-01-01 09:00:00,37766365.21098271,20.0720818178263,15.559999999999974,20.636089382809256,18.340425620896887,14.759123824240636,19.030148559564815,-0.6809047254110397,14.745215481279445
2021-01-01 10:00:00,50245682.53018485,20.0720818178263,15.559999999999974,20.63616821291048,18.3448682230173,14.763245559089583,19.036131360600088,-0.6788188679037649,14.68501149206341
2021-01-01 11:00:00,52633682.95149487,20.0720818178263,15.559999999999976,20.636175095103518,18.40979918908943,14.808975756742699,19.196862465094814,-0.6511831187434423,13.905142430538703
2021-01-01 12:00:00,57552492.05512219,20.0720818178263,15.559999999999976,20.636175649411946,18.46693134271652,14.848128300792805,19.425789032707698,-0.6141183982467755,12.91117124321842
2021-01-01 13:00:00,61777091.80561393,20.0720818178263,15.559999999999976,20.636175688192367,18.486623533524423,14.86728433544912,19.47880253234234,-0.6057567493955895,12.695175969647934
2021-01-01 14:00:00,59328475.11761327,20.0720818178263,15.559999999999977,20.63617569084233,18.468362407061793,14.874747075160311,19.436325604460755,-0.6128307030115371,12.877710269773559
2021-01-01 15:00:00,56197942.701501526,20.0720818178263,15.559999999999977,20.6361756910266,18.445097245663085,14.876345421812715,19.415595302151594,-0.6166254527559659,12.976523907865484
2021-01-01 16:00:00,50854524.21820098,20.0720818178263,15.559999999999976,20.63617569103922,18.38436863311145,14.830017315573972,19.205514849000416,-0.6511788306663628,13.905023990238547
2021-01-01 17:00:00,55819601.43052023,20.0720818178263,15.559999999999974,20.636175691040208,18.368394721044986,14.809101248433034,19.095797408539212,-0.6706147972647237,14.450044333443671
2021-01-01 18:00:00,60900515.8609648,20.0720818178263,15.55999999999998,20.636175691040297,18.37863566788491,14.808964548437032,19.073294996296465,-0.6743096451282476,14.555505398033887
2021-01-01 19:00:00,70823808.24476896,20.0720818178263,15.559999999999974,20.51658808964609,18.380226145671738,14.807524063506719,19.002710895850427,-0.6896408365896108,14.999409695005298
2021-01-01 20:00:00,79355843.0926579,20.0720818178263,15.559999999999974,20.50635886949056,18.387322759270937,14.808722403818592,18.973058554602584,-0.6951761809742216,15.162178631793964
2021-01-01 21:00:00,62047074.97336438,20.0720818178263,15.559999999999974,20.505450007090143,18.378759696560074,14.801069019395147,18.962657381059564,-0.6965835126268475,15.203772808864315
2021-01-01 22:00:00,56895961.56676528,20.0720818178263,15.559999999999974,20.505371571526997,18.380066058233904,14.800038995723355,18.959869461368648,-0.6963842463035976,15.197878224851593
2021-01-01 23:00:00,44166361.33523582,20.0720818178263,15.559999999999977,20.505364856598007,18.352559517810118,14.780424835742512,18.943427056298738,-0.7001989182674432,15.311019469371487
2021-01-02 00:00:00,44834647.43057904,20.0720818178263,15.559999999999976,20.505364291944044,18.33992211718348,14.770405164972985,18.93003241485456,-0.7019802821334294,15.364069005504717
2021-01-02 01:00:00,51740137.95310973,16.846353332605492,15.559999999999974,20.50536423982439,16.728359593645898,14.770008686858372,18.924178012559956,-0.7026278302215476,15.383387119825002
2021-01-02 02:00:00,42384943.01613313,15.775668349651172,15.559999999999974,20.50536423951843,15.476279975405639,14.752181249188254,18.81481596975432,-0.7194524698054846,15.891650529563847
2021-01-02 03:00:00,46097892.10802379,14.767718257299022,15.559999999999974,20.505364239515366,14.729257365483138,14.736804071748066,18.71394804975064,-0.7342202959406393,16.34782400855083
