,N96 [kWh],14 Hangar I [kWh],20 Hangar II [kWh],15 Hangar 3 [kWh],N23 [kWh],N2 [kWh],614 CUTTERMAN'S CLUB/AUTO HOBBY [kWh],N73 [kWh],R2 [kWh],T1 [kWh],576 ESU [kWh],MWD [kWh]
2020-01-01 00:00:00,5.033340538823048,172.2060962853106,127.28372854719018,140.86795016708484,14.927931301084651,28.410610311643794,22.867588547521652,5.5476155643668035,9.972868961052026,77.83581019898998,19.67271394040111,8.800386202945301
2020-01-01 01:00:00,5.332521779377028,171.6957647198938,145.1470403918506,137.89823226441052,14.919963460477287,28.38648205598151,23.849725788310376,5.587762656860173,9.972868961052026,77.83544640063438,19.59828140333766,8.856235818848253
2020-01-01 02:00:00,5.457180629607845,123.06623899089254,115.58156287736098,120.57752553376817,14.917982563646067,28.34983100063078,24.03131961123413,5.587762656860173,9.972868961052026,77.84507719448874,19.548557255640862,8.808961690651769
2020-01-01 03:00:00,5.806883293038454,123.6774837411889,124.10188481274852,123.23084036351835,14.912872463739438,29.320377963122006,24.769523367435696,5.587762656860173,10.322571624482647,78.20074330520936,19.658624156344217,8.941056963135361
2020-01-01 04:00:00,5.486918162870207,123.87911465619406,129.1203717577572,126.4719684718955,15.20827328049086,29.381284622658402,25.064603998482525,6.012423394859253,9.972868961052026,78.0565893037604,19.969134339180616,9.386791813317554
2020-01-01 05:00:00,5.537896791319972,124.56499869146387,123.02064299414221,128.3638601847302,14.898777059903725,29.21101564285756,25.062964911018877,5.973489432096029,9.972868961052026,78.39637999146458,20.973184599462847,10.997687922435253
2020-01-01 06:00:00,6.573435385005856,125.79265812746758,88.58745380276656,129.77314803377303,14.981259477545883,29.867420484255188,26.330322031792548,6.317409548578647,10.738859789914372,81.95586150365797,23.191438631193197,13.638298344299724
2020-01-01 07:00:00,7.176136041897759,128.8466895650263,103.06209587630661,133.80746535061604,15.477179259469366,33.977862900416795,28.15215070872189,8.227685276417912,11.344248682107628,93.16535581013562,32.82195976049401,22.025438072079115
2020-01-01 08:00:00,8.446587877550497,180.5388048829017,152.96487267996326,158.00622837692268,15.806155889948911,113.74909462342869,36.404389641440865,11.499348909570537,11.344248682107628,99.48277590787612,39.464327916345454,30.87668470941675
2020-01-01 09:00:00,9.37798017469199,180.91165405979834,146.60267351080938,157.6588543871858,16.232989995046417,114.95563032701472,36.64582442017921,12.313144270719828,11.693952001133157,100.45974079290986,40.82672629356608,32.46749014952393
2020-01-01 10:00:00,8.317108818010148,180.092458268739,140.6300413479759,153.52082667796645,15.8618659836131,113.999775216212,34.53345359744815,11.05260506037993,11.209624236522476,99.19803018186454,39.79581488664141,31.120667588473683
2020-01-01 11:00:00,8.239538404417756,178.85302642583235,141.6147523873629,145.19753138958927,15.860232339097825,114.20618881166547,33.75293864047289,10.903392253422822,11.209624236522476,99.19803018186454,39.168071438883075,30.241446009836686
2020-01-01 12:00:00,8.335599111504008,176.78786422352854,128.24692786433795,141.8056461327251,15.703227670340535,37.494079948524934,26.222316836326822,10.415490059245615,11.559327883096683,99.54773382605583,38.381831134406376,24.885392800111088
2020-01-01 13:00:00,8.282633078635751,177.36873203846787,111.74687700158948,141.13832728506065,15.864985128383417,114.52961553840902,33.55113564216261,10.986288257287882,11.209624236522476,99.19803018186454,39.2731486634969,30.125542576849476
2020-01-01 14:00:00,8.317108818010148,177.06972389201027,119.66702884387492,140.20564605194755,16.21485307153895,114.90490049350205,33.38374619077644,11.401133761444568,11.209624236522476,99.19803018186454,39.37670422704268,30.303433618289603
2020-01-01 15:00:00,8.666812792041663,177.65478393264235,137.20350450959657,141.13004545389353,15.847806541003338,114.9351514384353,33.62023295411763,11.05260506037993,11.5593282103591,99.54773415332026,39.498540376134756,30.55976603565217
2020-01-01 16:00:00,8.494131399725068,176.86826002108194,142.2509074069667,141.8132183371205,15.776648371986262,114.3535686496279,33.20797410944968,11.149168772492962,11.299373866912578,98.90994708873822,39.536540653444746,30.68793431310872
2020-01-01 17:00:00,6.594686471703199,170.44675735831413,128.63307219491568,140.32308609739488,15.43392594909768,34.11635835157329,23.312280594194128,8.825009183373545,11.344248682107628,94.73350973510665,33.14472904105777,22.676190083422956
2020-01-01 18:00:00,5.540777727576078,171.04763129696832,98.97066227811679,144.11846493032456,14.92618435552885,29.726904643963262,23.86404761778387,7.099242838103695,10.698066436077138,92.61897215144344,24.111748085225415,15.31649846493366
2020-01-01 19:00:00,4.99958481534084,171.06140115177092,97.340762943264,146.0618063576959,15.239044330199706,28.921087384259582,24.428259502107224,7.0677442551867475,10.151096368970723,91.65320738248495,22.46544285440254,13.96194214243635
2020-01-01 20:00:00,4.897627558441309,170.92505508099146,89.88021179918407,145.1586140993087,14.891118271534005,28.819323171211515,24.476206397482528,6.347731320192508,10.14776658249705,87.65065822399634,22.088847457345285,13.34320922325512
2020-01-01 21:00:00,4.824558190996647,171.02262675189994,79.11142648913905,145.8126107277069,14.895279501144708,28.75151779702138,25.366742233210488,6.0815056016538,10.147888455719238,80.49224068255492,21.339975348175862,10.890685668115374
2020-01-01 22:00:00,5.194072096796521,171.63210853328314,99.30655466380416,147.78489025943753,14.894119593349638,29.105830365558116,25.953889088842143,5.561680402052536,10.395284731475334,79.11074552602413,20.52968954597581,9.090990184834617
2020-01-01 23:00:00,5.051748209064031,171.3639189309222,105.17090650535263,147.85048751501182,14.889973198689122,28.71946284614795,25.715868680435573,5.504462382386605,10.04562815452535,78.20549212098092,20.02964001220745,8.853480674758616
2020-01-02 00:00:00,5.033340538823048,173.46120320122014,97.08557023234097,148.87032299634325,15.282530226302523,28.355055034793274,25.431088287051814,5.896147537878232,9.972868961052026,77.85806424786692,19.850996100289045,8.74347268834146
2020-01-02 01:00:00,5.682226733313787,175.00460545372897,91.35236232116418,156.69891923699998,14.935925342294754,28.667455891589157,26.611479733273292,5.587762656860173,10.322573916002858,78.23889586523552,19.287369055960596,8.211474430982477
2020-01-02 02:00:00,5.457180629607845,129.6033095478682,67.46915885668034,145.75883103417848,14.936940014585733,28.303309586529295,26.355163159948386,5.587762656860173,9.972868961052026,77.92204297603372,19.264747613148273,8.291289801904833
2020-01-02 03:00:00,5.457180629607845,137.48202318581826,75.5872493781937,149.74411301253318,14.935313121266303,28.287411792748586,26.36133124726582,5.587762656860173,9.972868961052026,77.93518731909668,19.337844718283918,8.451236318442419
2020-01-02 04:00:00,5.836623442927008,143.68006471491012,78.01024459244061,152.92505283370122,14.935017552083139,28.60926298081338,26.726564606022016,5.663888265860173,10.32257424212175,78.49035213947762,19.545633610783913,8.839965522764093
2020-01-02 05:00:00,5.537896791319972,148.3021959166258,73.10673496974599,156.17657993631,15.284683015025886,28.256741458257178,26.391429114763742,6.322018192306726,9.972868961052026,78.4875582597843,20.585835922363906,10.628936557578118
2020-01-02 06:00:00,6.223732393453609,149.82151541647008,81.20511173513044,156.76552389360742,14.99711785694033,29.551064187538973,27.14640436661143,6.317409548578647,10.461813290102105,82.09818510741012,23.117982888912426,13.652096884982827
2020-01-02 07:00:00,7.525841647789628,154.25675323880995,102.3621641530919,160.06470689965462,15.485986827292507,34.406893492707766,29.464951674282958,8.227685276417912,11.693954288709895,93.51502521328128,32.7810910983436,22.01995710207524
2020-01-02 08:00:00,8.446587877550497,196.83094658267365,141.65282162071048,182.6521285928813,15.817702130248943,113.81101380756967,42.90824932284409,11.499348909570536,11.344248682107628,99.48277590787612,39.50522435184572,30.92030422436712
2020-01-02 09:00:00,9.028276855304933,194.4571238796863,141.99284028570258,180.93779816928154,15.894918367739406,114.83720434183522,43.331912293343805,11.964612356379929,11.344248682107628,100.11003747786454,40.82672629356608,32.48740400566029
2020-01-02 10:00:00,8.66681474945248,189.12818040843467,136.93306286320205,175.78512895644886,16.219535141860852,115.04558119522318,40.47518810748225,11.401140307625209,11.559330168674402,99.54773611016081,39.79581488664141,31.11746504907026
2020-01-02 11:00:00,8.239538404417756,182.7553380178701,131.12516019132164,165.1164654159872,15.870288041721505,115.02038260446685,37.75772734907969,10.903392253422822,11.209624236522476,99.19803018186454,39.168071438883075,30.26724590084337
2020-01-02 12:00:00,7.9858954647346945,179.25819378645005,122.67487342759995,154.18645348391757,15.714169334878854,37.16131581942142,28.360916916957226,10.415490059245615,11.209624236522476,99.19803018186454,38.381831134406376,25.085150622439002
2020-01-02 13:00:00,8.632339335344108,179.4701764817853,117.57622842655482,145.68447637131965,15.873412146716124,115.3003497422487,34.12147776389696,10.986288257287883,11.559330493722317,99.5477364354297,39.2731486634969,30.211806407484346
2020-01-02 14:00:00,8.317108818010148,178.10004614102488,108.77639706933022,140.30526906666685,15.875634547353227,115.82284694060134,33.17873409211845,11.05260506037993,11.209624236522476,99.19803018186454,39.42740286758777,30.393332227553657
2020-01-02 15:00:00,8.317108818010148,177.4404523021711,103.7385354497769,137.8494887420778,16.212520661648764,116.15037457626781,32.80655353261906,11.401137092915047,11.209624236522476,99.19803018186454,39.66814312760451,30.649195829794557
2020-01-02 16:00:00,8.494131399725068,176.09049282366541,108.85212803979996,136.59869941531105,15.795023448922073,115.8344096376294,32.49674552824402,11.149168772492962,11.299373866912578,98.90994708873822,39.553105316586624,30.620276636754802
2020-01-02 17:00:00,6.944393053393594,169.58873706649166,104.39641719257452,133.53981273319093,15.450583105205837,34.522018012542226,22.13172509469906,8.825009183373544,11.693955264288864,95.08321631365652,33.14472904105777,22.60452566397656
2020-01-02 18:00:00,5.191073426735073,168.7922428220366,85.04561010066874,132.17948454838583,14.940574771373248,29.47026762966515,20.509247587663122,7.099242838103695,10.33116525944753,92.2692678530093,23.998621524608573,15.181455198597355
2020-01-02 19:00:00,4.99958481534084,168.09674580342735,86.01199864409055,129.33990327178003,15.25128273397732,29.029813215533732,20.13149214363187,7.067737886199548,10.11898173660923,91.65320738248495,22.351923029799615,13.813647325771129
2020-01-02 20:00:00,5.2473344648299465,167.62522319253443,86.5362834606452,127.60584337260448,14.902181336654603,29.301902597017577,20.13974527577383,6.347731320192508,10.457624115367882,87.91372307200261,22.04875216843384,13.25968053004176
2020-01-02 21:00:00,4.824558190996647,166.50692481645422,84.26343440659693,125.57904316570645,14.902930397200992,28.897030685299622,19.22239503803241,6.0815056016538,10.098137802971175,80.18346835859421,21.365851667038786,10.912960946553646
2020-01-02 22:00:00,4.844367469264922,165.97541868616577,90.41653013480686,124.83296277475297,14.902324139373432,28.868626964082377,19.1067896330474,5.561680402052536,10.045642606760017,78.72538921743016,20.493413401062192,8.801300336379912
2020-01-02 23:00:00,5.401455439867354,165.29506616886513,91.98436662302647,124.2039354368541,14.9008736642373,29.186879176745112,17.65253860020681,5.504462382386605,10.39533538576825,78.45996982972146,19.96795068429946,8.455488594427258
2020-01-03 00:00:00,5.033340538823048,165.7390498635086,105.10413408513192,123.67347530679295,15.288682754663146,28.524972701422108,15.88431593291401,5.89615087051364,9.972868961052026,77.74500448783097,19.877750611569482,8.73540876713406
2020-01-03 01:00:00,5.332521779377028,164.94361753680084,110.43221783186547,122.9268436712895,14.935588211137695,28.49618083699098,15.578563239870805,5.587762656860173,9.972868961052026,77.74383981388571,19.37885759511325,8.343344283851692
2020-01-03 02:00:00,5.806888184542446,115.80643694343988,61.88102133556015,98.00472301608599,14.938423841833101,28.772048829116855,15.658449808279185,5.587762656860173,10.322576516425553,78.09354736257792,19.194754841077895,7.994835733945512
2020-01-03 03:00:00,5.457180629607845,115.34277403936343,49.74263818038321,97.51088604003894,14.944438076281429,28.388839357487768,15.429825460585375,5.587762656860173,9.972868961052026,77.74383981388571,19.134856129039445,7.8094696694699595
2020-01-03 04:00:00,5.486918162870207,115.29661700060612,52.780101999355935,97.4030023820552,14.946016943156444,28.396887463711263,15.254008867305144,5.663888265860173,9.972868961052026,77.9398590545071,19.31909881826454,8.236711782565537
2020-01-03 05:00:00,5.88760467010284,115.7917862577389,50.51146886665349,97.84199771257792,15.295680329828281,28.767342912379,15.858669113595365,6.322021523507467,10.322576840273204,78.62579539246524,20.306929726178435,10.065461972728903
2020-01-03 06:00:00,6.223732393453609,115.80511373748453,52.25224175786454,97.82844739489292,15.009849392046874,29.710230503122972,16.17853586789642,6.317409548578647,10.266273058304456,81.13341793825474,22.830929214668416,13.1338627577286
2020-01-03 07:00:00,7.176136041897759,118.08779279537231,72.6627206983553,99.70953039927278,15.500252798731204,34.238559082765015,17.82517726681717,8.227685276417912,11.344248682107628,93.16535581013562,32.7810910983436,21.824325738052845
2020-01-03 08:00:00,8.796296079734807,170.78733709904452,109.32614206886157,126.75427416478395,15.831954995247287,114.70021451341458,30.732904231844177,11.499348909570537,11.693956884614206,99.83248410116171,39.505154345058536,30.724582714793073
2020-01-03 09:00:00,9.028276855304933,170.0677887233902,111.25723996077062,125.91127800386565,15.910359147799186,115.94815000680856,30.902132872791874,11.964612356379929,11.344248682107628,100.11003747786454,40.82672629356608,32.30062773582106
2020-01-03 10:00:00,8.317108818010148,169.920576062729,114.6505090746407,125.71854074990301,16.232818395947625,115.35550557408723,30.11223573522783,11.401133938439761,11.209624236522476,99.19803018186454,39.914718997566084,31.20700621835578
2020-01-03 11:00:00,8.239538404417756,169.81906176260108,105.03243044253321,125.3591507499144,15.883893498798113,115.81847818515027,29.72575332397306,10.903392253422822,11.209624236522476,99.19803018186454,39.58231434579612,30.57775981013918
2020-01-03 12:00:00,8.335603990202133,168.64629720944302,90.59073662073261,124.7315096979463,15.731691126814296,37.69800048627231,18.39422641762425,10.415490059245615,11.559332762660187,99.54773869844118,38.66305060096726,24.535069973156283
2020-01-03 13:00:00,8.282633078635751,169.79078118614555,88.04323764001643,125.14342833792877,15.892875796674344,116.39203802086712,29.82650319533133,10.986288257287882,11.209624236522476,99.19803018186454,39.51294953264447,30.396254566467203
2020-01-03 14:00:00,8.317108818010148,169.88028749747866,94.88820066027266,125.36828906929638,15.892917635331132,116.54209464373778,30.007860444162134,11.05260506037993,11.209624236522476,99.19803018186454,39.6174729534494,30.54258971474933
2020-01-03 15:00:00,8.66681766647852,170.22856260601864,96.66337897693234,125.71179870940867,16.225438155801477,116.86648476581311,30.193115298012597,11.401140425281477,11.559333085660313,99.54773902144993,39.725645235353575,30.686263779193098
2020-01-03 16:00:00,8.494131399725068,168.50041643754682,99.31315720200332,124.19161234263511,15.807371604877043,116.11881051055252,29.41198280132075,11.149168772492962,11.299373866912578,98.90994708873822,39.55310842086825,30.545462585208625
2020-01-03 17:00:00,6.594686471703199,161.52528530001047,100.55992998517038,120.02820514995494,15.46047945900542,34.33127982430642,15.78115559059403,8.825009183373544,11.344248682107628,94.73350973510665,33.14472904105777,22.54334157320023
2020-01-03 18:00:00,5.540782597757909,161.83867909073624,98.59657722156938,120.58740272326531,14.944969107347353,29.975784851422585,15.176855204937507,7.099242838103695,10.611755681497678,92.61897701532158,24.074397513306362,15.189825402656806
2020-01-03 19:00:00,4.99958481534084,161.52296735992246,104.57354464836789,120.42746618041848,14.9016277731358,29.171479095575577,14.865455410838157,6.719209066990709,10.045671511229353,91.65320738248495,22.492788817469528,13.885884948932334
